KEPLER_ID,DR16_TEFF_COR,DR16_TEFF_COR_ERR,DR17_TEFF_COR,DR17_TEFF_COR_ERR,APOKASC3_EVSTATE,APOKASC3_SEIS_SOURCE,APOKASC3_SPEC_SOURCE,APOKASC3_MASS,APOKASC3_MASS_ERR,APOKASC3_RADIUS,APOKASC3_RADIUS_ERR,APOKASC3_LOGG,APOKASC3_LOGG_ERR,APOKASC3_TEFF,APOKASC3_TEFF_ERR,APOKASC3_LOGG_SPEC,APOKASC3_LOGG_SPEC_ERR,APOKASC3_M_H,APOKASC3_M_H_ERR,APOKASC3_ALPHA_M,APOKASC3_ALPHA_M_ERR,APOKASC3_CAT_AGE,APOKASC3_AGE_RGB,APOKASC3_AGE_RGB_PERR,APOKASC3_AGE_RGB_MERR,GAIA_TEFF,GAIA_RADIUS,GAIA_LUMINOSITY
11910960,4827.7656,99.2704,4773.509,14.904188,RGB,WAvg,DR17,0.9955,0.0415,6.8898,0.1286,2.7614,0.0046,4773.509,52.6133,2.8509,0.058,-0.5048,0.058,0.0762,0.022,RGB,8.3193,1.3825,-1.1036,5036.795,6.164595,22.035398
11912315,4868.4277,99.121735,4834.8906,12.186213,RGB,WAvg,DR17,1.1818,0.0493,4.2995,0.0802,3.2455,0.0045,4834.8906,52.5345,3.2784,0.058,-0.0107,0.058,0.0307,0.022,RGB,6.2369,0.8776,-0.7085,4914.1626,4.148184,9.040839
11912582,4595.982,85.36076,4591.3784,8.541937,RGB,WAvg,DR17,1.043,0.0437,7.7902,0.1458,2.675,0.0043,4591.3784,45.2412,2.5998,0.058,-0.0863,0.058,0.1415,0.022,RGB,9.97,1.565,-1.3448,4867.447,6.645663,22.334497
11913545,4737.016,82.8973,4725.5537,8.705072,RGB,WAvg,DR17,1.17,0.048,5.8404,0.1074,2.9751,0.0041,4725.5537,43.9356,2.9269,0.058,0.0808,0.058,0.0534,0.022,RGB,7.0873,0.9173,-0.8185,4750.62,5.584337,14.309986
11920678,4589.906,78.5234,4585.0654,6.9506483,RGB,WAvg,DR17,1.3435,0.0519,11.1284,0.1931,2.4739,0.0038,4585.0654,41.6174,2.4539,0.058,-0.0044,0.058,0.0255,0.022,RGB,4.2219,0.4459,-0.3712,4694.9834,9.765466,41.746193
11924919,4871.0684,85.23533,4850.0083,8.200576,RGB,WAvg,DR17,1.6616,0.0637,6.9848,0.1208,2.972,0.0039,4850.0083,45.1747,2.9261,0.058,0.1455,0.058,0.0451,0.022,RGB,2.3435,0.2073,-0.1689,4853.8667,6.8172674,23.241638
11925044,4881.595,84.47633,4840.095,7.9762278,RGB,WAvg,DR17,1.7373,0.0667,5.5098,0.0953,3.1974,0.0039,4840.095,44.7725,3.145,0.058,0.2284,0.058,0.012,0.022,RGB,2.1142,0.1705,-0.136,4841.3,5.3554215,14.19482
11954465,4725.9883,82.044426,4705.7017,7.983334,RGB,WAvg,DR17,1.1124,0.0465,6.0405,0.1129,2.9239,0.0042,4705.7017,43.4835,2.8958,0.058,0.0094,0.058,0.0362,0.022,RGB,7.9811,1.17,-0.9983,4809.7734,5.908064,16.829979
11954989,4534.219,76.77774,4522.194,8.620788,RGB,WAvg,DR17,1.317,0.051,12.8285,0.2228,2.3391,0.0038,4522.194,40.6922,2.345,0.058,0.0533,0.058,0.0298,0.022,RGB,4.6884,0.5151,-0.4203,4599.0503,11.895836,57.03708
11957192,4760.551,109.78077,4716.7554,13.819762,RGB,WAvg,DR17,1.3358,0.0558,7.1326,0.1332,2.859,0.0049,4716.7554,58.1838,2.8521,0.058,0.1049,0.058,0.0016,0.022,RGB,4.5357,0.5149,-0.4437,5020.065,6.8605175,26.930586
11960195,4866.312,103.32022,4830.412,14.930653,RGB,WAvg,DR17,1.2615,0.0526,5.4402,0.1015,3.0694,0.0046,4830.412,54.7597,3.131,0.058,0.0115,0.058,0.0185,0.022,RGB,5.109,0.6448,-0.5305,5011.3726,4.879157,13.527297
11960363,4667.078,78.711815,4651.728,6.909057,RGB,WAvg,DR17,1.2463,0.0521,6.9902,0.1307,2.8464,0.0041,4651.728,41.7173,2.8136,0.058,0.2271,0.058,0.0126,0.022,RGB,6.1871,0.765,-0.6176,4744.665,5.9729953,16.289259
11960908,4664.141,89.56534,4654.4414,12.631209,RGB,WAvg,DR17,1.2545,0.0484,9.3647,0.1623,2.5953,0.0041,4654.4414,47.4696,2.6445,0.058,-0.3629,0.058,0.1863,0.022,RGB,4.3675,0.5277,-0.4363,4834.51,8.839063,38.451817
